city,state_id,state_name,country_name,population,zips
MILFORD,MI,MICHIGAN,OAKLAND,6515,48381
NAPLES MANOR,FL,FLORIDA,COLLIER,6507,34113
ANADARKO,OK,OKLAHOMA,CADDO,6504,73005
HARRAH,OK,OKLAHOMA,OKLAHOMA,6499,73020 73045
MONTICELLO,KY,KENTUCKY,WAYNE,6499,42633
WILLIAMSTON,MI,MICHIGAN,INGHAM,6498,48895
GENESEO,IL,ILLINOIS,HENRY,6495,61254
LYNCHBURG,TN,TENNESSEE,MOORE,6488,37334 37388 37359 37352
SILVER LAKE,NC,NORTH CAROLINA,NEW HANOVER,6476,28412
PRESTONSBURG,KY,KENTUCKY,FLOYD,6473,41653 41602
COLUMBIA,MS,MISSISSIPPI,MARION,6468,39429
GENOA,IL,ILLINOIS,DEKALB,6467,60135
HEBRON,KY,KENTUCKY,BOONE,6461,41048 41005 41021
LAKE MURRAY OF RICHLAND,SC,SOUTH CAROLINA,RICHLAND,6455,29036 29063
IRONWOOD,MI,MICHIGAN,GOGEBIC,6448,49938
INVERNESS HIGHLANDS SOUTH,FL,FLORIDA,CITRUS,6441,34452
VINE GROVE,KY,KENTUCKY,HARDIN,6439,40175 40160
CRYSTAL LAKE,FL,FLORIDA,POLK,6431,33801
NORTH RIVERSIDE,IL,ILLINOIS,COOK,6429,60546
BRIDGEPORT,MI,MICHIGAN,SAGINAW,6425,48722 48601
GREENVILLE,IL,ILLINOIS,BOND,6417,62246
ORLOVISTA,FL,FLORIDA,ORANGE,6416,32808 32835 32811
JORDAN,MN,MINNESOTA,SCOTT,6402,55352
CAROLINA BEACH,NC,NORTH CAROLINA,NEW HANOVER,6399,28428
ROCKFORD,MI,MICHIGAN,KENT,6391,49341 49351
EAST END,AR,ARKANSAS,SALINE,6384,72065 72206 72103
INTERNATIONAL FALLS,MN,MINNESOTA,KOOCHICHING,6382,56649 56679
ROGERSVILLE,TN,TENNESSEE,HAWKINS,6380,37857
NEPHI,UT,UTAH,JUAB,6378,84648
CULLOWHEE,NC,NORTH CAROLINA,JACKSON,6377,28723
MIMS,FL,FLORIDA,BREVARD,6375,32754
JOHNSBURG,IL,ILLINOIS,MCHENRY,6368,60051
KATHLEEN,FL,FLORIDA,POLK,6358,33810
COMBEE SETTLEMENT,FL,FLORIDA,POLK,6357,33801
HENDERSON,TN,TENNESSEE,CHESTER,6357,38340
CYNTHIANA,KY,KENTUCKY,HARRISON,6356,41031
TABOR CITY,NC,NORTH CAROLINA,COLUMBUS,6355,28463
WEST HATTIESBURG,MS,MISSISSIPPI,LAMAR,6352,39402
ALLEGAN,MI,MICHIGAN,ALLEGAN,6350,49010
JAN PHYL VILLAGE,FL,FLORIDA,POLK,6346,33880
